id;nombre;precio;descripcion;url_imagen;is_active;foreign_id;creado;actualizado
1;Directo;50228;strategize;Ensalada Acero Dollar;false;15484;1080p Clonado supply-chains;de nueva generate
2;e-services payment uniforme;37568;Parafarmacia;base Acero Avon;true;39264;payment;THX
3;Granito AI Ladrillo;67773;matrix;Cuentas parse;true;7943;Oficial navigate Adelante;Joyería Consultor
4;XSS IB Cliente;8493;communities HTTP;XML index haptic;true;96132;Increible;Tácticas
5;Parafarmacia;87795;withdrawal;architect Bedfordshire Savings;true;40837;deposit technologies;Cantabria
6;compress mediante auxiliary;55467;Acero collaborative;Comunidad;false;71830;Decoración Irak;efficient Moda Blanco
7;Bacon;20283;Account Decoración channels;Actualizable Torrente;false;45717;synthesizing escalable;Account Adelante quantifying
8;Tácticas recíproca;69950;Gris Inteligente input;Account;false;57843;Account Madera;frictionless New
9;AI Aruba;70009;facilitate programming withdrawal;deliverables;false;88463;Pequeño Pescado bus;user-centric Mancha
10;Money Algodón;3759;Loan Aruba Mobilidad;Castilla-La SAS;false;6812;Loan;Director Rambla payment
